date,contract,total_oi
2026-07-20,CU2702,8091
2026-07-20,CU2703,15308
2026-07-20,CU2704,8631
2026-07-20,CU2705,3677
2026-07-20,CU2706,3363
2026-07-20,CU2707,542
2026-07-21,CU2608,113050
2026-07-21,CU2609,215867
2026-07-21,CU2610,76881
2026-07-21,CU2611,31821
2026-07-21,CU2612,50370
2026-07-21,CU2701,20379
2026-07-21,CU2702,8316
2026-07-21,CU2703,15252
2026-07-21,CU2704,8157
2026-07-21,CU2705,3741
2026-07-21,CU2706,3386
2026-07-21,CU2707,625
2026-07-22,CU2608,106884
2026-07-22,CU2609,227686
2026-07-22,CU2610,80720
2026-07-22,CU2611,32470
2026-07-22,CU2612,49493
2026-07-22,CU2701,20768
2026-07-22,CU2702,8446
2026-07-22,CU2703,15209
2026-07-22,CU2704,8508
2026-07-22,CU2705,3834
2026-07-22,CU2706,3387
2026-07-22,CU2707,720
2026-07-23,CU2608,103108
2026-07-23,CU2609,224899
2026-07-23,CU2610,82208
2026-07-23,CU2611,32617
2026-07-23,CU2612,49276
2026-07-23,CU2701,20895
2026-07-23,CU2702,8644
2026-07-23,CU2703,15257
2026-07-23,CU2704,8566
2026-07-23,CU2705,3998
2026-07-23,CU2706,3473
2026-07-23,CU2707,831
2026-07-24,CU2608,94826
2026-07-24,CU2609,210281
2026-07-24,CU2610,84651
2026-07-24,CU2611,33568
2026-07-24,CU2612,50517
2026-07-24,CU2701,22006
2026-07-24,CU2702,8700
2026-07-24,CU2703,15673
2026-07-24,CU2704,8735
2026-07-24,CU2705,4299
2026-07-24,CU2706,3886
2026-07-24,CU2707,949
2026-07-27,CU2608,87748
2026-07-27,CU2609,208275
2026-07-27,CU2610,90343
2026-07-27,CU2611,36723
2026-07-27,CU2612,51588
2026-07-27,CU2701,23474
2026-07-27,CU2702,8710
2026-07-27,CU2703,15778
2026-07-27,CU2704,8815
2026-07-27,CU2705,4225
2026-07-27,CU2706,3894
2026-07-27,CU2707,1089
2026-07-28,CU2608,78661
2026-07-28,CU2609,202989
2026-07-28,CU2610,95995
2026-07-28,CU2611,37661
2026-07-28,CU2612,51912
2026-07-28,CU2701,24613
2026-07-28,CU2702,8848
2026-07-28,CU2703,16070
2026-07-28,CU2704,8850
2026-07-28,CU2705,4217
2026-07-28,CU2706,3949
2026-07-28,CU2707,1421
2026-07-29,CU2608,69898
2026-07-29,CU2609,197318
2026-07-29,CU2610,103511
2026-07-29,CU2611,38111
2026-07-29,CU2612,52206
2026-07-29,CU2701,25600
2026-07-29,CU2702,8871
2026-07-29,CU2703,16247
2026-07-29,CU2704,8877
2026-07-29,CU2705,4190
2026-07-29,CU2706,3927
2026-07-29,CU2707,1486
2026-07-30,CU2608,62075
2026-07-30,CU2609,196080
2026-07-30,CU2610,112171
2026-07-30,CU2611,40332
2026-07-30,CU2612,53244
2026-07-30,CU2701,25915
2026-07-30,CU2702,9394
2026-07-30,CU2703,16770
2026-07-30,CU2704,8893
2026-07-30,CU2705,4133
2026-07-30,CU2706,3956
2026-07-30,CU2707,1525
2026-07-31,CU2608,53567
2026-07-31,CU2609,201576
2026-07-31,CU2610,116851
2026-07-31,CU2611,40709
2026-07-31,CU2612,52836
2026-07-31,CU2701,25981
2026-07-31,CU2702,9491
2026-07-31,CU2703,17070
2026-07-31,CU2704,8776
2026-07-31,CU2705,4119
2026-07-31,CU2706,4018
2026-07-31,CU2707,1523
2026-08-03,CU2608,50585
2026-08-03,CU2609,205922
2026-08-03,CU2610,121425
2026-08-03,CU2611,41497
2026-08-03,CU2612,53665
2026-08-03,CU2701,25966
2026-08-03,CU2702,10530
2026-08-03,CU2703,17258
2026-08-03,CU2704,8744
2026-08-03,CU2705,4115
